id,latitude,longitude
1,676483.659,3359256.712
2,676066.090,3360225.582
3,676065.177,3360225.242
4,676064.546,3360225.836
5,676063.944,3360226.216
6,676065.712,3360222.026
7,676062.751,3360217.759
8,676062.299,3360217.807
9,676062.512,3360218.61
10,676061.989,3360219.02
11,676069.788,3360223.616
12,676066.473,3360224.826
13,676064.675,3360225.383
14,676064.744,3360225.579
15,676064.615,3360225.568
16,676064.553,3360225.418
17,676064.344,3360225.368
18,676064.029,3360224.973
19,676064.205,3360225.05
20,676064.614,3360225.131
21,676063.713,3360225.033
22,676063.908,3360224.933
23,676063.076,3360230.05
24,676060.435,3360231.884
25,676060.925,3360227.543
26,676060.418,3360227.005
27,676061.200,3360226.479
28,676062.458,3360226.434
29,676062.796,3360225.956
30,676062.828,3360225.948
31,676062.844,3360225.938
32,676062.844,3360225.948
33,676062.844,3360225.938
34,676062.815,3360225.734
35,676062.778,3360225.584
36,676062.778,3360225.575
37,676062.786,3360225.538
38,676062.803,3360225.52
39,676062.860,3360225.483
40,676062.884,3360225.456
41,676062.982,3360225.42
42,676063.143,3360225.386
43,676063.152,3360225.367
44,676063.136,3360225.367
45,676063.151,3360225.395
46,676063.167,3360225.414
47,676063.191,3360225.405
48,676063.199,3360225.415
49,676063.224,3360225.368
50,676063.274,3360225.313
51,676063.315,3360225.249
52,676063.380,3360225.185
53,676063.486,3360225.112
54,676063.552,3360225.039
55,676063.569,3360225.002
56,676063.641,3360224.994
57,676063.769,3360225.052
58,676063.865,3360225.1
59,676063.848,3360225.146
60,676063.807,3360225.192
61,676063.775,3360225.182
62,676063.719,3360225.144
63,676063.728,3360225.126
64,676063.744,3360225.107
65,676063.753,3360225.061
66,676063.762,3360225.024
67,676063.674,3360224.958
68,676063.643,3360224.892
69,676063.683,3360224.92
70,676063.755,3360224.95
71,676063.779,3360224.959
72,676063.819,3360224.969
73,676063.795,3360224.959
74,676063.763,3360224.959
75,676063.763,3360224.94
76,676063.772,3360224.885
77,676063.781,3360224.848
78,676063.805,3360224.811
79,676063.822,3360224.774
80,676063.838,3360224.784
81,676063.822,3360224.802
82,676063.781,3360224.811
83,676063.757,3360224.819
